Label;Part Type;mn;mpn;part number;
100K;100kΩ Resistor;;;;
100K1;100kΩ Resistor;;;;
100uF;Electrolytic Capacitor;;;;
103;Ceramic Capacitor;;;;
104;Ceramic Capacitor;;;;
106;Ceramic Capacitor;;;;
106;Ceramic Capacitor;;;;
1uF;Electrolytic Capacitor;;;;
1uF1;Electrolytic Capacitor;;;;
4.7k;4.7kΩ Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
4001;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
4148;Diode;;;;
ATT;Rotary Potentiometer (Small);;;;
ATT;Rotary Potentiometer (Small);;;;
CV1;PJ-301M;;;PJ-301M;
CV2;PJ-301M;;;PJ-301M;
G1;PJ-301M;;;PJ-301M;
G2;PJ-301M;;;PJ-301M;
IN1;PJ-301M;;;PJ-301M;
IN2;PJ-301M;;;PJ-301M;
J3;Generic shrouded header - 16 pins;;;;
J4;Generic female header - 1 pins;;;;
Out1;PJ-301M;;;PJ-301M;
Out2;PJ-301M;;;PJ-301M;
REL;Rotary Potentiometer (Small);;;;
REL;Rotary Potentiometer (Small);;;;
TL074;TL074 Quad Opamp (Movable);;;;
Vactrol1;VTL5C1;;;;
Vactrol2;VTL5C1;;;;

Amount;Part Type;mn;mpn;part number;
2;100kΩ Resistor;;;;
2;4.7kΩ Resistor;;;;
4;Ceramic Capacitor;;;;
9;Diode;;;;
3;Electrolytic Capacitor;;;;
1;Generic female header - 1 pins;;;;
1;Generic shrouded header - 16 pins;;;;
8;PJ-301M;;;PJ-301M;
4;Rotary Potentiometer (Small);;;;
1;TL074 Quad Opamp (Movable);;;;
2;VTL5C1;;;;
